County,Median_Income
Randolph County,34813
Ben Hill County,42861
Taliaferro County,45903
Wheeler County,46926
Jenkins County,47541
Baker County,48634
Taylor County,49837
Chattahoochee County,49909
Chattooga County,50661
Warren County,50690
Lanier County,50740
Atkinson County,51037
Telfair County,52008
Jeff Davis County,52236
Macon County,52301
Clay County,53750
Emanuel County,53973
Appling County,54028
Dougherty County,54050
Cook County,54115
Stewart County,54302
Webster County,54420
Pulaski County,54886
Ware County,55183
Charlton County,55237
Sumter County,55352
Turner County,55661
Decatur County,55947
Jefferson County,55988
Dodge County,56029
Mitchell County,56060
Calhoun County,56071
Bacon County,56098
Wilkinson County,56607
Johnson County,56800
Early County,57030
Hancock County,57070
Colquitt County,57859
Talbot County,58125
Coffee County,58229
Laurens County,59173
Washington County,59175
Quitman County,59500
Terrell County,59698
Brantley County,60170
Burke County,60368
Seminole County,60408
Wilcox County,60503
Brooks County,60873
Crisp County,60927
Richmond County,60993
Liberty County,61242
Berrien County,61384
Fannin County,61406
Upson County,61466
Toombs County,61847
Elbert County,62043
Meriwether County,62272
Clayton County,62391
Bleckley County,62701
Evans County,63064
Grady County,63193
McDuffie County,63287
Candler County,63571
Franklin County,63774
Treutlen County,63950
Lincoln County,63958
Wayne County,64219
Marion County,64722
Tift County,64812
Bibb County,64826
Stephens County,65032
Tattnall County,65191
Worth County,65361
Pierce County,65653
Wilkes County,65707
Montgomery County,66419
Jasper County,66441
Long County,67071
Walker County,67163
Gordon County,67549
Clinch County,67713
Irwin County,68065
McIntosh County,68307
Polk County,68486
Schley County,68517
Spalding County,68566
Echols County,68750
Miller County,68849
Towns County,69016
Troup County,69126
Whitfield County,69315
Murray County,69618
Muscogee County,69623
Dade County,69846
Screven County,70292
Crawford County,70483
Butts County,70592
Madison County,70895
Heard County,71516
Dooly County,71646
Rabun County,71985
Lowndes County,72081
Floyd County,72134
Bulloch County,72633
Twiggs County,73500
Thomas County,73611
Habersham County,74176
Glascock County,74680
Baldwin County,74684
Clarke County,75254
Newton County,75725
Camden County,76688
Rockdale County,76750
Hart County,77241
Haralson County,78070
Gilmer County,78531
Union County,79438
Carroll County,79624
Catoosa County,79712
Banks County,79983
Oglethorpe County,79990
Putnam County,80052
Peach County,80095
Jones County,80876
Lumpkin County,81180
Chatham County,81441
Glynn County,81669
White County,82535
Barrow County,82933
Lamar County,83303
Pickens County,85424
Douglas County,86053
Hall County,86127
Bartow County,87480
Henry County,88355
Greene County,89840
Walton County,91328
Houston County,91406
Jackson County,91750
Effingham County,92126
Monroe County,92679
Morgan County,93601
Lee County,94150
Gwinnett County,94411
DeKalb County,97842
Paulding County,98072
Harris County,99819
Pike County,100891
Dawson County,101924
Bryan County,102302
Coweta County,105403
Columbia County,106774
Cherokee County,113750
Cobb County,114362
Fulton County,115353
Fayette County,122500
Oconee County,133014
Forsyth County,144747
